office,office_type,office_district,total_votes_2020,total_votes_2022,total_votes_2024,winner_2020,winner_2022,winner_2024,winner_party_2020,winner_party_2022,winner_party_2024,winner_margin_2020,winner_margin_2022,winner_margin_2024,winner_percent_2020,winner_percent_2022,winner_percent_2024
STATE REPRESENTATIVE DISTRICT 10,HD,10,85795,0,888,JAKE ELLZEY,,BRIAN HARRISON,R,,R,88658,0,67818,151.66,0.0,98.72
STATE REPRESENTATIVE DISTRICT 100,HD,100,45550,27698,0,JASMINE FELICIA CROCKETT,VENTON C. JONES,,D,D,,0,38872,0,100.0,170.18,0.0
STATE REPRESENTATIVE DISTRICT 101,HD,101,0,0,21781,,,CHRIS TURNER,,,D,0,0,18556,0.0,0.0,64.94
STATE REPRESENTATIVE DISTRICT 102,HD,102,31785,14007,0,LINDA KOOP,SUSAN FISCHER,,R,R,,0,0,0,100.0,100.0,0.0
STATE REPRESENTATIVE DISTRICT 103,HD,103,12934,8681,0,JERRY FORTENBERRY II,ALEJANDRO ARRIETA,,R,I,,0,0,0,100.0,100.0,0.0
STATE REPRESENTATIVE DISTRICT 105,HD,105,24087,13519,18928,GERSON HERNANDEZ,ALLAN E. MEAGHER,TERRY MEZA,R,R,D,0,0,3922,100.0,100.0,54.69
STATE REPRESENTATIVE DISTRICT 106,HD,106,52257,0,39941,JENNIFER SKIDONENKO,,JARED PATTERSON,D,,R,0,0,21440,100.0,0.0,60.58
STATE REPRESENTATIVE DISTRICT 107,HD,107,26906,6960,29546,SAMUEL SMITH,SHANE D. NEWSOM,LINDA GARCIA,R,L,D,0,0,0,100.0,100.0,100.0
STATE REPRESENTATIVE DISTRICT 108,HD,108,48590,38390,44307,JOANNA CATTANACH,ELIZABETH GINSBERG,MORGAN MEYER,D,D,R,0,0,15920,100.0,100.0,57.61
STATE REPRESENTATIVE DISTRICT 109,HD,109,12880,0,56138,DR. EUGENE ALLEN,,AICHA DAVIS,R,,D,0,0,0,100.0,0.0,100.0
STATE REPRESENTATIVE DISTRICT 11,HD,11,15965,0,62338,ALEC JOHNSON,,JOANNE SHOFNER,D,,R,0,0,0,100.0,0.0,100.0
STATE REPRESENTATIVE DISTRICT 111,HD,111,0,9927,0,,BENNY FLORES YRIGOLLEN,,,R,,0,0,0,0.0,100.0,0.0
STATE REPRESENTATIVE DISTRICT 112,HD,112,33537,30946,40645,BRANDY K. CHAMBERS,ELVA CURL,ANGIE CHEN BUTTON,D,D,R,0,0,6811,100.0,100.0,53.87
STATE REPRESENTATIVE DISTRICT 113,HD,113,33194,0,25732,WILL DOUGLAS,,RHETTA ANDREWS BOWERS,R,,D,0,0,7815,100.0,0.0,56.59
STATE REPRESENTATIVE DISTRICT 114,HD,114,37014,55976,25839,LUISA DEL ROSAL,JOHN BRYANT,JOHN BRYANT,R,D,D,0,35840,17715,100.0,132.02,62.76
STATE REPRESENTATIVE DISTRICT 115,HD,115,31026,22973,69401,KARYN BROWNLEE,MELISA DENIS,CASSANDRA HERNANDEZ,R,R,D,0,0,11966,100.0,100.0,108.62
STATE REPRESENTATIVE DISTRICT 116,HD,116,18510,0,19596,ROBERT LITOFF,,TREY MARTINEZ FISCHER,R,,D,0,0,18448,100.0,0.0,66.0
STATE REPRESENTATIVE DISTRICT 117,HD,117,37711,16620,29021,CARLOS ANTONIO RAYMOND,AARON SCHWOPE,PHILIP CORTEZ,R,R,D,0,0,11045,100.0,100.0,57.99
STATE REPRESENTATIVE DISTRICT 118,HD,118,23376,24488,36624,ADAM SALYER,FRANK RAMIREZ,JOHN LUJAN III,R,D,R,0,0,2622,100.0,100.0,51.73
STATE REPRESENTATIVE DISTRICT 119,HD,119,58728,8243,21763,"ELIZABETH  ""LIZ"" CAMPOS",ARTHUR M. THOMAS IV,"ELIZABETH  ""LIZ"" CAMPOS",D,L,D,32840,0,16397,127.96,100.0,63.68
STATE REPRESENTATIVE DISTRICT 12,HD,12,0,0,83430,,,TREY WHARTON,,,R,0,0,89560,0.0,0.0,153.68
STATE REPRESENTATIVE DISTRICT 120,HD,120,18830,12718,0,RONALD PAYNE,RONALD PAYNE,,R,R,,0,0,0,100.0,100.0,0.0
STATE REPRESENTATIVE DISTRICT 121,HD,121,43863,34721,97117,CELINA MONTOYA,BECCA MOYER DEFELICE,MARC LAHOOD,D,D,R,0,0,9818,100.0,100.0,105.06
STATE REPRESENTATIVE DISTRICT 122,HD,122,50195,82909,46180,CLAIRE BARNETT,MARK DORAZIO,MARK DORAZIO,D,R,R,0,25398,17838,100.0,115.32,58.09
STATE REPRESENTATIVE DISTRICT 123,HD,123,0,17138,0,,CHARLOTTE VALDEZ,,,R,,0,0,0,0.0,100.0,0.0
STATE REPRESENTATIVE DISTRICT 124,HD,124,0,35276,18981,,JOSEY GARCIA,JOSEY GARCIA,,D,D,0,23980,11364,0.0,133.98,61.52
STATE REPRESENTATIVE DISTRICT 125,HD,125,11515,20933,0,TONY VALDIVIA,CARLOS ANTONIO RAYMOND,,L,R,,0,0,0,100.0,100.0,0.0
STATE REPRESENTATIVE DISTRICT 126,HD,126,34538,0,616,NATALI HURTADO,,E. SAM HARLESS,D,,R,0,0,59133,100.0,0.0,98.98
STATE REPRESENTATIVE DISTRICT 127,HD,127,25653,0,35932,NEKO ANTONIOU,,CHARLES CUNNINGHAM,L,,R,0,0,19116,100.0,0.0,60.51
STATE REPRESENTATIVE DISTRICT 128,HD,128,22569,13594,19181,MARY E. WILLIAMS,"CHARLES ""CHUCK"" CREWS",BRISCOE CAIN,D,D,R,0,0,26191,100.0,100.0,70.29
STATE REPRESENTATIVE DISTRICT 129,HD,129,34823,64256,33758,KAYLA ALIX,DENNIS PAUL,DENNIS PAUL,D,R,R,0,27736,18661,100.0,121.58,60.83
STATE REPRESENTATIVE DISTRICT 13,HD,13,0,53450,17301,,ANGELIA ORR,ANGELIA ORR,,R,R,0,58792,38016,0.0,155.0,76.18
STATE REPRESENTATIVE DISTRICT 130,HD,130,32229,0,28671,BRYAN J HENRY,,TOM OLIVERSON,D,,R,0,0,34599,100.0,0.0,68.82
STATE REPRESENTATIVE DISTRICT 131,HD,131,0,6063,0,,GERRY MONROE,,,R,,0,0,0,0.0,100.0,0.0
STATE REPRESENTATIVE DISTRICT 132,HD,132,52299,60805,37846,MIKE SCHOFIELD,MIKE SCHOFIELD,MIKE SCHOFIELD,R,R,R,0,23678,16082,100.0,119.48,58.76
STATE REPRESENTATIVE DISTRICT 133,HD,133,36550,58675,0,SANDRA G MOORE,MANO DEAYALA,,D,R,,0,30046,0,100.0,125.6,0.0
STATE REPRESENTATIVE DISTRICT 134,HD,134,56895,29968,38480,ANN JOHNSON,RYAN MCCONNICO,ANN JOHNSON,D,R,D,0,0,22557,100.0,100.0,61.33
STATE REPRESENTATIVE DISTRICT 135,HD,135,36460,17178,0,JUSTIN RAY,MIKE MAY,,R,R,,0,0,0,100.0,100.0,0.0
STATE REPRESENTATIVE DISTRICT 136,HD,136,43533,21240,27665,MIKE GUEVARA,MICHELLE EVANS,JOHN H. BUCY III,R,R,D,0,0,17520,100.0,100.0,62.02
STATE REPRESENTATIVE DISTRICT 137,HD,137,5342,4559,5988,LEE SHARP,LEE SHARP,GENE WU,L,L,D,0,0,13298,100.0,100.0,76.31
STATE REPRESENTATIVE DISTRICT 138,HD,138,64063,56748,31671,LACEY HULL,LACEY HULL,LACEY HULL,R,R,R,4198,16084,10351,103.28,114.18,57.02
STATE REPRESENTATIVE DISTRICT 139,HD,139,8029,0,46196,R. GRIZZLE TROJACEK,,CHARLENE WARD JOHNSON,L,,D,0,0,0,100.0,0.0,100.0
